,PPG_Rate,EDA_Tonic,EDA_Phasic,Condition,Gender
3,-19.492553928207236,0.008478974277962292,0.00630072562455853,neutral,muz
4,1.217613691336112,0.013650837951243333,-0.00064134244912725,radost,muz
5,4.431896693748655,0.02138850363703687,-0.0014038332838027235,neutral,muz
6,9.94165806659744,0.02763775460791279,-0.000276200192201278,radost,muz
1,72.14155610803688,0.26882703138379266,0.0044817269206079355,neutral,zena
2,-13.448369696378506,0.004865104138061238,-0.0068146156610958426,radost,zena
3,-10.956167905900813,-0.020118496429434612,-0.002158242112273365,neutral,zena
4,-0.907032171508078,-0.0015873431954094852,-0.02599509335643161,radost,zena
5,-7.812984953515482,0.10926543130077804,-0.013224899271246265,neutral,zena
6,0.5493031127730035,0.08891686307356728,-0.011728072661136742,radost,zena
1,68.82594776827456,0.6012934127233058,0.004961709254039471,neutral,muz
2,-8.014224732071817,0.076417771661908,-0.084289343031478,radost,muz
3,-6.992053194889429,0.1295882240542553,-0.03519812538222139,neutral,muz
4,-0.9291510814226172,0.11856769991887783,-0.059925158897602755,radost,muz
5,-13.24169483800027,0.15944658141155332,-0.031175601716261492,neutral,muz
6,-3.0562256586394625,0.15915573063200195,-0.05361660052302686,radost,muz
1,74.32258064516125,0.21176521737988488,-0.007394326683777667,neutral,zena
2,7.575772990632345,0.0017625379223721038,0.009502586184715781,radost,zena
3,1.407301493586374,-0.010998880671646671,0.011385017842312235,neutral,zena
4,7.812933118294325,-0.018140257672606935,0.009640285300121867,radost,zena
5,2.2590738021966104,-0.029378719957082744,0.009709392373444752,neutral,zena
6,-24.66303272664149,-0.03321764377369882,0.009345240119731282,radost,zena
1,62.20229659100173,2.7978344207096266,0.024893957650967267,neutral,muz
2,-30.517963571851382,0.059157652804635585,-0.052853960083778316,radost,muz
3,-26.17569333568278,-0.024477390035274826,-0.03600494829127864,neutral,muz
4,-20.050311471806054,-0.025172420541446083,-0.12308101757745518,radost,muz
5,-7.444735803308802,0.012274919992132816,-0.07378095453630529,neutral,muz
6,-15.755132861934207,-0.11136700939713551,-0.03278585279401943,radost,muz
1,62.01061914950127,0.11605506347011343,0.0022251987657647436,neutral,muz
2,-12.652766674435497,0.0010708524459946134,-0.002587910173136215,radost,muz
3,-19.51710068992542,0.0004927103901178065,-0.0022059208365707308,neutral,muz
4,-21.75777659878453,0.00016393293751391924,-0.002718944496016559,radost,muz
5,2.1345521572814192,0.0006131566659629828,-0.0034373028021038926,neutral,muz
6,-18.307098374167417,0.0011174946547188036,-0.0022644646861165467,radost,muz
1,28.5439440314823,0.306952527288897,0.0035717480550885514,neutral,muz
2,80.0684560136267,0.0014675980529823551,-0.0038453557129172226,strach,muz
3,-18.912942200721066,0.0031610185581591455,-0.0035348953705162953,neutral,muz
4,-4.986016626096056,0.007856083387961343,-0.006328269974226834,strach,muz
5,-15.294917099568996,0.015104747085656955,-0.0012890779883714689,neutral,muz
6,-13.491676310485971,0.01779489009788421,0.0009552494178513378,strach,muz
1,77.88070564891426,0.23783948595847623,-0.007335617376906694,neutral,zena
2,-17.359101920879247,-0.01637522803166616,0.012081588628896314,strach,zena
3,-37.904629572348604,-0.015555112941888521,0.008202350669461041,neutral,zena
4,-15.494644328328746,-0.01616047080983668,0.011785702479462451,strach,zena
5,-23.12171176629765,-0.008823956800704441,0.01708642861769169,neutral,zena
6,-3.4419244255728785,-0.004545367934058936,0.009232358938818701,strach,zena
1,72.21492537313428,0.16757014402236786,-0.01550129968718984,neutral,zena
2,-8.68327403854341,-0.00436026826003022,0.005676202990482666,strach,zena
3,-2.7786633525645072,-0.006021893545179513,0.01012575795259991,neutral,zena
4,9.850920650277999,-0.015718758033520408,0.008563229824437309,strach,zena
5,-2.001176393732621,-0.02047346038211667,0.013961931350792612,neutral,zena
6,5.867760628898537,-0.01890857292293366,0.018869579570217756,strach,zena
1,75.82670203359861,0.8342031190229615,-0.002919093130474227,neutral,muz
2,-20.86591222031157,-0.013209831693915763,0.0030837400035566578,strach,muz
3,-15.545173992345902,-0.035924322388266705,0.001775391244455542,neutral,muz
4,-17.323206384324763,-0.047693659080332185,0.0018931545557360505,strach,muz
5,2.2724877780040913,-0.06291769396351377,0.006135730723216742,neutral,muz
6,-21.382997964521877,-0.08001927265183595,-0.002220022175178078,strach,muz
1,86.24113475177302,0.6277907078417674,-0.017853075672750046,neutral,zena
2,5.082656748345528,-0.05893248616786029,0.04414271176918413,strach,zena
3,-2.026327412295899,-0.06237966115544957,0.00608211895116384,neutral,zena
4,2.553655309328917,-0.06439080574875133,0.06757961989575267,strach,zena
5,-5.514486654089666,-0.06426785080577613,0.07916496455113775,neutral,zena
6,3.5127671489918555,-0.0609152484744907,0.08114641290921655,strach,zena
1,75.76567417292715,0.13793770047163778,-0.0041137812196869825,neutral,zena
2,-15.567162497990736,-0.0030593999520400483,0.004225622907845426,strach,zena
3,-36.89854230182125,-0.003301198684088208,0.004468484696952431,neutral,zena
4,-18.171973621432123,-0.002203088283903004,0.003861085725601773,strach,zena
5,-28.252596733028625,-0.002880134010923935,0.0038911259865168717,neutral,zena
6,-4.237221149541583,-0.004321677342463887,0.003733447240084423,strach,zena
1,83.49407840944393,0.30512485710103476,0.0062187998684164175,neutral,muz
2,-2.050423176708435,0.01200618313483659,-0.00720358765766378,strach,muz
